Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Lawrence Richardson,Arkansas,CB,69.3,194.0,4.63,8.0,31.0,112.0,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Greg Richmond,Oklahoma State,OLB,73.0,233.0,4.7,17.0,,,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Constantin Ritzmann,Tennessee,DE,75.0,259.0,4.97,24.0,29.0,108.0,4.48,7.39,5-6-0,,,,,,,,,,,,,,U
2004.0,Andrew Shull,Kansas State,DE,76.6,265.0,4.95,16.0,30.5,107.0,4.28,7.46,5-6-0,,,,,,,,,,,,,,U
2004.0,Billy Strother,New Mexico,OLB,73.0,241.0,4.68,,33.0,112.0,4.21,7.42,6-5-0,,,,,,,,,,,,,,U
2004.0,Greg Taplin,Michigan State,DE,77.0,267.0,5.09,,33.0,115.0,,,5-6-0,,,,,,,,,,,,,,U
2004.0,Deryck Toles,Penn State,OLB,71.8,224.0,4.62,24.0,37.0,112.0,4.23,7.12,11-1-0,,,,,,,,,,,,,,U
2004.0,Daryl Towns,Nevada,OLB,73.0,224.0,4.57,,37.0,112.0,4.25,7.15,9-3-0,,,,,,,,,,,,,,U
2004.0,Khaleed Vaughn,Clemson,DE,76.5,281.0,5.02,14.0,31.5,113.0,4.35,7.38,8-4-0,,,,,,,,,,,,,,U
2004.0,Vince Wilfork,Miami (FL),DT,73.3,323.0,5.21,36.0,,,,,9-3-0,,,,,,,,,,,,,,U
2004.0,Quintin Williams,Wake Forest,FS,71.5,207.0,4.61,21.0,37.0,122.0,4.09,7.28,4-7-0,,,,,,,,,,,,,,U
2004.0,Virgil Williams,Washington State,SS,72.9,196.0,4.66,11.0,,,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Marcus Winn,Alabama State,SS,72.3,223.0,4.86,21.0,,,,,,,,,,,,,,,,,,,U
2004.0,Jeff Womble,Florida State,DT,73.4,313.0,5.36,18.0,28.0,,,,8-5-0,,,,,,,,,,,,,,U
2005.0,Lorenzo Alexander,California,DT,74.0,289.0,5.16,28.0,29.5,106.0,4.55,7.53,8-4-0,,,,,,,,,,,,,,U
2005.0,Adrian Awasom,North Texas,DE,76.13,279.0,4.93,23.0,32.5,107.0,4.4,7.57,2-9-0,,,,,,,,,,,,,,U
2005.0,Ronald Bartell,Howard (DC),CB,73.25,211.0,4.42,21.0,35.5,,,,,,,,,,,,,,,,,,U
