Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2004.0,Corey Williams,Arkansas State,DT,76.0,313.0,5.18,25.0,28.0,,4.55,7.97,6-6-0,6,179,GNB,24,2012,0,0,5,33,11,200,2,27.5,D
2004.0,Demorrio Williams,Nebraska,OLB,72.8,232.0,4.54,16.0,37.0,125.0,4.11,7.02,8-4-0,4,101,ATL,24,2012,0,0,5,35,21,480,7,7.5,D
2004.0,Madieu Williams,Maryland,FS,72.4,193.0,4.5,18.0,,125.0,,,5-6-0,2,56,CIN,22,2012,0,0,7,34,16,450,13,5.5,D
2004.0,Quintin Williams,Wake Forest,FS,71.5,207.0,4.61,21.0,37.0,122.0,4.09,7.28,4-7-0,,,,,,,,,,,,,,U
2004.0,Virgil Williams,Washington State,SS,72.9,196.0,4.66,11.0,,,,,4-7-0,,,,,,,,,,,,,,U
2004.0,Gibril Wilson,Tennessee,SS,72.1,197.0,4.47,15.0,,120.0,,,5-6-0,5,136,NYG,22,2011,0,0,6,34,23,488,13,8.5,D
2004.0,Marcus Winn,Alabama State,SS,72.3,223.0,4.86,21.0,,,,,,,,,,,,,,,,,,,U
2004.0,Jeff Womble,Florida State,DT,73.4,313.0,5.36,18.0,28.0,,,,8-5-0,,,,,,,,,,,,,,U
2004.0,Dexter Wynn,Colorado State,CB,69.3,175.0,4.49,13.0,39.0,123.0,3.9,6.7,6-6-0,6,192,PHI,23,2008,0,0,0,4,3,43,,1.0,D
2005.0,Hamza Abdullah,Washington State,SS,74.0,214.0,4.65,18.0,39.0,114.0,,6.94,4-7-0,7,231,TAM,22,2011,0,0,1,5,,68,,,D
2005.0,Lorenzo Alexander,California,DT,74.0,289.0,5.16,28.0,29.5,106.0,4.55,7.53,8-4-0,,,,,,,,,,,,,,U
2005.0,O.J. Atogwe,Stanford,FS,71.0,219.0,4.57,22.0,,,,,5-6-0,3,66,STL,24,2011,0,0,6,34,31,376,25,5.5,D
2005.0,Adrian Awasom,North Texas,DE,76.13,279.0,4.93,23.0,32.5,107.0,4.4,7.57,2-9-0,,,,,,,,,,,,,,U
2005.0,Jonathan Babineaux,Iowa,DT,74.13,286.0,4.9,21.0,29.5,109.0,4.57,7.7,7-5-0,2,59,ATL,23,2016,0,0,10,53,53,291,4,27.0,D
2005.0,Ronald Bartell,Howard (DC),CB,73.25,211.0,4.42,21.0,35.5,,,,,,,,,,,,,,,,,,U
2005.0,Jordan Beck,Cal Poly,OLB,74.38,233.0,4.6,25.0,41.0,128.0,4.12,7.11,,3,90,ATL,22,2007,0,0,0,2,1,19,,,D
2005.0,Trey Bell,Wisconsin-Whitewater,CB,71.0,186.0,,,,,,,,,,,,,,,,,,,,,U
2005.0,Justin Beriault,Ball State (IN),FS,74.75,204.0,4.57,14.0,39.5,124.0,3.8,6.92,,6,208,DAL,,,0,0,0,,,,,,D
2005.0,Atari Bigby,Central Florida,SS,70.75,214.0,4.65,19.0,35.0,106.0,4.1,7.0,8-5-0,,,,,,,,,,,,,,U
2005.0,Darryl Blackstock,Virginia,OLB,74.63,247.0,4.72,25.0,39.0,126.0,4.29,7.05,7-5-0,3,95,ARI,22,2011,0,0,0,7,5,75,,4.0,D
2005.0,Patrick Body,Toledo,FS,73.63,196.0,4.36,,,,,,9-3-0,,,,,,,,,,,,,,U
2005.0,Michael Boley,Southern Mississippi,OLB,74.75,236.0,4.62,,34.0,110.0,4.12,7.08,7-5-0,5,160,ATL,23,2013,0,0,8,43,23,542,8,9.5,D
2005.0,Jamaal Brimmer,Nevada Las Vegas,SS,73.38,216.0,4.87,16.0,32.0,108.0,4.63,7.78,,,,,,,,,,,,,,,U
2005.0,Brandon Browner,Oregon State,CB,75.5,221.0,4.67,13.0,36.5,120.0,4.24,7.2,5-6-0,,,,,,,,,,,,,,U
2005.0,Anthony Bryant,Alabama,DT,75.0,337.0,5.1,23.0,31.5,106.0,4.68,7.8,10-2-0,6,178,TAM,23,2010,0,0,0,2,0,7,,,D
2005.0,Josh Bullocks,Nebraska,FS,72.0,209.0,4.49,,37.5,116.0,4.08,7.09,8-4-0,2,40,NOR,22,2010,0,0,3,21,19,235,6,1.0,D
2005.0,Tim Bulman,Boston College,DT,75.5,294.0,4.94,35.0,32.5,115.0,4.2,7.23,9-3-0,,,,,,,,,,,,,,U
2005.0,Kevin Burnett,Tennessee,OLB,74.88,239.0,4.61,20.0,36.0,119.0,,,5-6-0,2,42,DAL,22,2013,0,0,4,40,5,495,5,20.0,D
2005.0,Vincent Burns,Kentucky,DE,72.38,267.0,4.9,25.0,35.0,119.0,4.41,7.24,3-8-0,3,92,IND,,,0,0,0,,,,,,D
2005.0,Larry Burt,Miami (OH),DT,74.0,304.0,5.41,22.0,28.0,98.0,4.72,8.03,7-4-0,,,,,,,,,,,,,,U
2005.0,James Butler,Georgia Tech,FS,73.88,213.0,4.58,16.0,40.5,127.0,3.98,7.1,7-5-0,,,,,,,,,,,,,,U
2005.0,Chris Canty,Virginia,DE,79.25,279.0,,,,,,,7-5-0,4,132,DAL,22,2015,0,0,9,46,19,234,,22.5,D
2005.0,Jerome Carter,Florida State,SS,71.38,220.0,4.49,21.0,35.0,116.0,4.04,7.18,8-5-0,4,117,STL,22,2007,0,0,0,3,3,62,2,,D
2005.0,Luis Castillo,Northwestern,DT,75.38,303.0,4.82,32.0,34.5,110.0,,,7-5-0,1,28,SDG,22,2011,0,0,6,33,33,152,2,19.0,D
2005.0,Ryan Claridge,Nevada Las Vegas,OLB,74.0,254.0,,,,,,,,5,170,NWE,,,0,0,0,,,,,,D
2005.0,Dan Cody,Oklahoma,DE,77.5,254.0,,,,,,,8-4-0,2,53,BAL,23,2006,0,0,0,0,0,,,,D
2005.0,Shaun Cody,Southern California,DT,76.0,293.0,4.95,34.0,,,,,12-1-0,2,37,DET,22,2012,0,0,4,27,5,122,1,3.0,D
2005.0,Trent Cole,Cincinnati,OLB,74.25,236.0,,,,,,,4-7-0,5,146,PHI,22,2016,0,2,9,70,67,467,1,90.5,D
2005.0,Eric Coleman,Clemson,DT,76.88,288.0,5.15,27.0,33.0,118.0,4.71,7.42,8-4-0,,,,,,,,,,,,,,U
2005.0,Nick Collins,Bethune-Cookman (FL),CB,71.13,206.0,4.42,11.0,40.0,113.0,4.16,6.94,,2,51,GNB,22,2011,0,3,6,43,43,345,21,1.0,D
2005.0,Sean Considine,Iowa,FS,72.13,212.0,4.53,19.0,37.0,116.0,3.92,7.09,7-5-0,4,102,PHI,22,2012,0,0,2,14,9,195,4,2.5,D
