Year,Name,College_x,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Pos,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted
2006.0,David Pittman,Northwestern State (LA),CB,71.25,182.0,4.49,14.0,36.0,128.0,4.23,,,,,,,,,,,,,,,,,0
2006.0,Bernard Pollard,Purdue,SS,73.63,224.0,4.6,,36.5,131.0,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,Nick Reid,Kansas,ILB,74.5,230.0,,,,,,,7-5-0,,,,,,,,,,,,,,,0
2006.0,Freddie Roach,Alabama,ILB,73.88,257.0,4.96,,34.0,111.0,4.42,7.49,10-2-0,,,,,,,,,,,,,,,0
2006.0,Dale Robinson,Arizona State,ILB,72.38,231.0,4.84,18.0,33.0,108.0,4.3,7.29,7-5-0,,,,,,,,,,,,,,,0
2006.0,Frostee Rucker,Southern California,DE,75.25,267.0,4.94,,29.5,110.0,,,12-1-0,3,91,CIN,DE,22,2018,0,0,5,41,10,201,1,21.5,1
2006.0,T.J. Rushing,Stanford,CB,70.38,180.0,,,,,,,5-6-0,,,,,,,,,,,,,,,0
2006.0,DeMeco Ryans,Alabama,OLB,73.25,236.0,4.67,23.0,39.0,129.0,4.17,7.19,10-2-0,2,33,HOU,LB,22,2015,0,2,8,57,38,735,7,13.5,1
2006.0,Nate Salley,Ohio State,FS,73.75,216.0,4.64,14.0,40.0,123.0,4.15,6.79,10-2-0,,,,,,,,,,,,,,,0
2006.0,Anthony Schlegel,Ohio State,ILB,72.5,250.0,4.86,21.0,32.0,111.0,4.38,7.41,10-2-0,3,76,NYJ,LB,25,2007,0,0,0,2,0,21,,,1
2006.0,Kevin Simon,Tennessee,OLB,70.0,235.0,4.93,26.0,28.0,103.0,4.32,7.69,5-6-0,7,250,WAS,LB,,,0,0,0,,,,,,1
2006.0,Ko Simpson,South Carolina,FS,73.0,209.0,4.45,11.0,40.5,122.0,4.17,7.09,7-5-0,,,,,,,,,,,,,,,0
2006.0,Ernie Sims,Florida State,OLB,71.13,231.0,4.56,25.0,41.0,125.0,4.22,7.31,8-5-0,1,9,DET,LB,21,2013,0,0,4,30,19,420,1,5.5,1
2006.0,Dwayne Slay,Texas Tech,FS,75.5,216.0,4.83,,32.5,112.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Anthony Smith,Syracuse,FS,72.13,194.0,4.71,18.0,41.0,125.0,4.35,6.75,1-10-0,,,,,,,,,,,,,,,0
2006.0,Eric Smith,Michigan State,SS,73.0,209.0,4.63,21.0,40.0,127.0,4.1,6.89,5-6-0,,,,,,,,,,,,,,,0
2006.0,Harrison Smith,California,FS,73.63,200.0,,,,,,,8-4-0,,,,,,,,,,,,,,,0
2006.0,LeKevin Smith,Nebraska,DT,74.88,316.0,5.06,30.0,30.5,109.0,4.92,7.93,8-4-0,,,,,,,,,,,,,,,0
2006.0,Montavious Stanley,Louisville,DT,74.13,313.0,5.18,,29.0,106.0,4.6,8.06,9-3-0,6,182,DAL,DT,24,2009,0,0,0,5,,46,,1.5,1
2006.0,John Syptak,Rice (TX),OLB,73.13,250.0,,,,,,,1-10-0,,,,,,,,,,,,,,,0
2006.0,Darryl Tapp,Virginia Tech,DE,73.63,252.0,4.86,27.0,33.0,109.0,4.48,7.31,11-2-0,2,63,SEA,DE,21,2017,0,0,2,30,21,262,2,29.0,1
2006.0,Spencer Toone,Utah,OLB,73.13,235.0,,,,,,,7-5-0,7,245,TEN,LB,26,2006,0,0,0,0,0,,,,1
2006.0,Anthony Trucks,Oregon,OLB,72.88,233.0,4.79,22.0,37.0,125.0,4.14,7.0,10-2-0,,,,,,,,,,,,,,,0
2006.0,Stephen Tulloch,North Carolina State,ILB,70.75,241.0,4.93,27.0,33.5,113.0,4.15,7.19,7-5-0,4,116,TEN,LB,21,2016,0,0,7,50,22,683,5,14.5,1
2006.0,Cameron Vaughn,Louisiana State,OLB,75.75,235.0,4.75,17.0,32.0,117.0,4.22,7.24,11-2-0,,,,,,,,,,,,,,,0
2006.0,Vickiel Vaughn,Arkansas,FS,71.63,208.0,,,,,,,4-7-0,,,,,,,,,,,,,,,0
2006.0,John Walker,Southern California,CB,71.75,205.0,4.65,,40.0,125.0,4.16,,12-1-0,,,,,,,,,,,,,,,0
2006.0,Scott Ware,Southern California,SS,73.13,218.0,4.72,15.0,37.0,115.0,4.25,7.05,12-1-0,,,,,,,,,,,,,,,0
2006.0,Pat Watkins,Florida State,FS,76.75,211.0,4.48,14.0,41.0,133.0,,,8-5-0,,,,,,,,,,,,,,,0
2006.0,Gabe Watson,Michigan,DT,75.5,339.0,5.29,36.0,25.0,96.0,4.8,8.28,7-5-0,4,107,ARI,DT,22,2010,0,0,1,12,12,81,,2.0,1
2006.0,Dee Webb,Florida,CB,70.75,183.0,4.45,,36.5,121.0,,,9-3-0,,,,,,,,,,,,,,,0
2006.0,Donte Whitner,Ohio State,SS,70.1,204.0,4.44,18.0,40.0,132.0,,,10-2-0,,,,,,,,,,,,,,,0
2006.0,Gerris Wilkinson,Georgia Tech,ILB,75.0,233.0,4.68,19.0,39.0,122.0,4.17,7.21,7-5-0,3,96,NYG,LB,23,2010,0,0,0,6,6,54,,,1
2006.0,Jamar Williams,Arizona State,OLB,72.25,236.0,4.63,,37.0,120.0,4.29,7.03,7-5-0,4,120,CHI,LB,22,2010,0,0,0,5,5,70,,1.0,1
2006.0,Jimmy Williams,Virginia Tech,CB,74.38,213.0,,,,,,,11-2-0,,,,,,,,,,,,,,,0
2006.0,Leon Williams,Miami (FL),ILB,75.0,245.0,4.6,25.0,,,,,9-3-0,4,110,CLE,LB,23,2012,0,0,0,10,9,129,,5.0,1
2006.0,Mario Williams,North Carolina State,DE,74.4,269.0,4.75,25.0,34.0,111.0,4.54,7.49,7-5-0,1,1,HOU,DE,21,2016,1,4,9,76,34,317,,97.5,1
2006.0,Steve Williams,Northwest Missouri State,DT,74.75,300.0,,,,,,,,,,,,,,,,,,,,,,0
2006.0,Kamerion Wimbley,Florida State,DE,75.88,248.0,4.64,24.0,38.5,129.0,4.48,6.97,8-5-0,1,13,CLE,DE,22,2014,0,0,8,44,23,322,2,53.5,1
2006.0,Rodrique Wright,Texas,DT,77.13,300.0,5.11,31.0,32.0,110.0,4.51,7.84,13-0-0,7,226,MIA,DT,22,2008,0,0,0,4,4,28,,1.5,1
2006.0,Claude Wroten,Louisiana State,DT,74.0,302.0,,,,,,,11-2-0,3,68,STL,DT,22,2007,0,0,0,2,2,21,,1.5,1
2006.0,Justin Wyatt,Southern California,CB,69.13,189.0,,14.0,,,,,12-1-0,,,,,,,,,,,,,,,0
2006.0,James Wyche,Syracuse,DE,77.4,262.0,4.66,27.0,33.0,116.0,4.51,7.75,1-10-0,7,213,JAX,DE,24,2009,0,0,0,0,0,1,,,1
