Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Win-Loss Record,Round,Pick,Team,Age,To,AP1,PB,St,CarAV,DrAV,Solo,Int,Sacks,Drafted,Solos_Per_Year,Ints_Per_Year,Sacks_Per_Year,Solos_Per_Game
2000.0,Shannon Taylor,Virginia,OLB,74.9,249.0,4.65,21.378663540445487,34.5,115.0,4.304478021978025,7.204715672676831,7-5-0,6.0,184.0,SDG,25.0,2003.0,0.0,0.0,0.0,4.0,1.0,37.0,0.0,1.0,D,12.33,0.0,0.33,0.770625
2000.0,Adalius Thomas,Southern Mississippi,DE,74.4,270.0,4.57,21.378663540445487,38.5,120.0,4.42,7.204715672676831,7-5-0,6.0,186.0,BAL,23.0,2009.0,1.0,2.0,8.0,64.0,51.0,411.0,7.0,53.0,D,45.67,0.78,5.89,2.854375
2000.0,Travares Tillman,Georgia Tech,FS,73.3,194.0,4.6,15.0,37.5,123.0,4.29,6.95,7-5-0,2.0,58.0,BUF,22.0,2007.0,0.0,0.0,1.0,13.0,4.0,127.0,4.0,0.0,D,18.14,0.57,0.0,1.13375
2000.0,Mao Tosi,Idaho,DT,77.1,310.0,5.29,19.0,28.5,99.0,4.6,7.72,,5.0,136.0,ARI,23.0,2001.0,0.0,0.0,1.0,5.0,5.0,69.0,0.0,1.0,D,69.0,0.0,1.0,4.3125
2000.0,Jeff Ulbrich,Hawaii,ILB,72.4,249.0,4.7,24.0,32.0,109.0,4.3,7.23,5-7-0,3.0,86.0,SFO,23.0,2009.0,0.0,0.0,4.0,31.0,31.0,366.0,2.0,5.5,D,40.67,0.22,0.61,2.541875
2000.0,Darrick Vaughn,Texas State,CB,70.9,196.0,4.55,14.0,36.5,121.0,4.16,7.09,0-1-0,7.0,211.0,ATL,21.0,2003.0,0.0,0.0,0.0,9.0,8.0,63.0,1.0,0.0,D,21.0,0.33,0.0,1.3125
2000.0,Steve Warren,Nebraska,DT,72.6,307.0,5.14,29.0,30.5,105.0,4.56,7.97,8-4-0,3.0,74.0,GNB,22.0,2002.0,0.0,0.0,0.0,2.0,2.0,16.0,0.0,1.0,D,8.0,0.0,0.5,0.5
2000.0,Marcus Washington,Auburn,OLB,75.3,252.0,4.7,21.378663540445487,35.0,118.0,4.49,6.91,9-3-0,2.0,59.0,IND,22.0,2008.0,0.0,1.0,8.0,54.0,17.0,471.0,3.0,37.5,D,58.88,0.38,4.69,3.68
2000.0,Jason Webster,Texas A&M,CB,69.1,180.0,4.46,17.0,35.5,122.0,3.98,6.76,5-6-0,2.0,48.0,SFO,22.0,2008.0,0.0,0.0,5.0,25.0,16.0,351.0,11.0,0.5,D,43.88,1.38,0.06,2.7425
2000.0,Jack Williams,Azusa Pacific (CA),SS,70.3,206.0,4.74,15.0,31.5,108.0,4.65,7.15,,4.0,119.0,DEN,23.0,2009.0,0.0,0.0,0.0,2.0,2.0,26.0,0.0,0.0,D,2.89,0.0,0.0,0.180625
2000.0,Josh Williams,Michigan,DT,75.5,282.0,4.93,21.378663540445487,30.5,111.0,4.25,7.22,7-5-0,4.0,122.0,IND,24.0,2005.0,0.0,0.0,2.0,18.0,18.0,117.0,0.0,8.0,D,23.4,0.0,1.6,1.4625
2000.0,Antonio Wilson,Texas A&M-Commerce,OLB,74.0,245.0,4.56,11.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,,4.0,106.0,MIN,22.0,2002.0,0.0,0.0,0.0,2.0,2.0,14.0,0.0,0.0,D,7.0,0.0,0.0,0.4375
2000.0,Cedric Woodard,Texas,DT,74.5,290.0,5.23,23.0,30.5,109.0,4.304478021978025,7.204715672676831,13-0-0,6.0,191.0,BAL,23.0,2004.0,0.0,0.0,2.0,14.0,,78.0,0.0,1.0,D,19.5,0.0,0.25,1.21875
2000.0,Brian Young,Texas-El Paso,DE,74.4,278.0,4.96,27.0,29.5,106.0,4.47,7.2,8-4-0,5.0,139.0,STL,23.0,2008.0,0.0,0.0,6.0,40.0,18.0,230.0,1.0,22.5,D,28.75,0.12,2.81,1.796875
2001.0,Keith Adams,Clemson,OLB,70.6,219.0,4.81,24.0,34.43981481481482,104.0,4.304478021978025,7.204715672676831,8-4-0,7.0,232.0,TEN,21.0,2007.0,0.0,0.0,1.0,15.0,,147.0,0.0,0.0,D,24.5,0.0,0.0,1.53125
2001.0,Brian Allen,Florida State,OLB,72.1,238.0,4.65,25.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,8-5-0,3.0,83.0,STL,23.0,2004.0,0.0,0.0,0.0,8.0,0.0,74.0,1.0,1.0,D,24.67,0.33,0.33,1.541875
2001.0,Will Allen,Syracuse,CB,70.5,192.0,4.44,14.0,39.5,121.0,3.9,6.78,1-10-0,1.0,22.0,NYG,23.0,2012.0,0.0,0.0,8.0,46.0,27.0,460.0,15.0,5.0,D,41.82,1.36,0.45,2.61375
2001.0,Will Allen,Syracuse,CB,70.5,192.0,4.44,14.0,39.5,121.0,3.9,6.78,1-10-0,4.0,111.0,TAM,22.0,2015.0,0.0,0.0,2.0,24.0,11.0,303.0,7.0,4.0,D,21.64,0.5,0.29,1.3525
2001.0,Adam Archuleta,Arizona State,SS,71.9,211.0,4.46,31.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,7-5-0,1.0,20.0,STL,23.0,2007.0,0.0,0.0,7.0,33.0,27.0,453.0,4.0,18.0,D,75.5,0.67,3.0,4.71875
2001.0,Idrees Bashir,Memphis,FS,74.3,206.0,4.55,22.0,40.0,126.0,4.2,7.14,7-5-0,2.0,37.0,IND,22.0,2007.0,0.0,0.0,4.0,19.0,18.0,181.0,6.0,0.0,D,30.17,1.0,0.0,1.885625
2001.0,Gary Baxter,Baylor,CB,73.6,204.0,4.52,21.378663540445487,37.5,122.0,4.21,7.39,5-6-0,2.0,62.0,BAL,22.0,2006.0,0.0,0.0,3.0,20.0,17.0,252.0,8.0,3.0,D,50.4,1.6,0.6,3.15
2001.0,Monty Beisel,Kansas State,DE,75.8,270.0,4.82,26.0,34.5,110.0,4.28,7.32,5-6-0,4.0,107.0,KAN,23.0,2009.0,0.0,0.0,0.0,11.0,5.0,200.0,2.0,4.5,D,25.0,0.25,0.56,1.5625
2001.0,Kendrell Bell,Georgia,ILB,73.3,234.0,4.62,24.0,38.5,124.0,4.5,7.25,10-3-0,2.0,39.0,PIT,23.0,2007.0,0.0,1.0,5.0,40.0,28.0,274.0,1.0,20.5,D,45.67,0.17,3.42,2.854375
2001.0,Marcus Bell,Memphis,DT,73.5,319.0,5.28,17.0,34.43981481481482,98.0,4.71,8.07,7-5-0,4.0,116.0,SEA,23.0,2002.0,0.0,0.0,1.0,7.0,7.0,109.0,1.0,2.0,D,109.0,1.0,2.0,6.8125
2001.0,Marcus Bell,Memphis,DT,73.5,319.0,5.28,17.0,34.43981481481482,98.0,4.71,8.07,7-5-0,4.0,123.0,ARI,22.0,2006.0,0.0,0.0,2.0,14.0,7.0,131.0,0.0,6.5,D,26.2,0.0,1.3,1.6375
2001.0,Cory Bird,Virginia Tech,SS,70.3,217.0,4.6,22.0,34.43981481481482,116.02665121668598,4.304478021978025,7.204715672676831,11-2-0,3.0,91.0,IND,23.0,2004.0,0.0,0.0,0.0,5.0,5.0,90.0,0.0,0.5,D,30.0,0.0,0.17,1.875
2001.0,Harold Blackmon,Northwestern,CB,71.4,210.0,4.47,17.0,37.0,121.0,4.28,7.03,7-5-0,7.0,210.0,SEA,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,D,1.0,0.0,0.0,0.0625
2001.0,James Boyd,Penn State,SS,71.0,207.0,4.59,21.378663540445487,32.5,117.0,4.24,7.29,11-1-0,3.0,94.0,JAX,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,D,11.0,0.0,0.0,0.6875
2001.0,Derrick Burgess,Mississippi,DE,74.4,264.0,4.9,24.0,40.0,125.0,4.304478021978025,7.85,3-8-0,3.0,63.0,PHI,23.0,2010.0,0.0,2.0,4.0,42.0,9.0,215.0,0.0,52.0,D,23.89,0.0,5.78,1.493125
